id,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,language,averageRating,ratingsCount,previewLink,buyLink,mainCategory,imagem
iqZnwQEACAAJ,Robinson Crusoe,,Daniel Defoe,Independently Published,2019-01-24,"The Life and Strange Surprising Adventures of Robinson Crusoe (of York, Mariner Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of America, near the Mouth of the Great River of Oroonoque; Having been cast on Shore by Shipwreck, where in all the Men perished but Himself. With An Account how he was at last as strangely deliver'd by Pyrates) is a novel by Daniel Defoe, first published in 1719 and sometimes regarded as the first novel...",574.0,Fiction,en,,,http://books.google.com.br/books?id=iqZnwQEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=41&source=gbs_api,,Fiction,http://books.google.com/books/content?id=iqZnwQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
ZcjAzQEACAAJ,The Picture of Dorian Gray Illustrated,,Oscar Wilde,,2020-08-07,"The Picture of Dorian Gray is a Gothic and philosophical novel by Oscar Wilde, first published complete in the July 1890 issue of Lippincott's Monthly Magazine.Fearing the story was indecent, the magazine's editor deleted roughly five hundred words before publication without Wilde's knowledge. Despite that censorship, The Picture of Dorian Gray offended the moral sensibilities of British book reviewers, some of whom said that Oscar Wilde merited prosecution for violating the laws guarding public morality. In response, Wilde aggressively defended his novel and art in correspondence with the British press, although he personally made excisions of some of the most controversial material when revising and lengthening the story for book publication the following year.",272.0,,en,,,http://books.google.com.br/books?id=ZcjAzQEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=42&source=gbs_api,,Fiction,http://books.google.com/books/content?id=ZcjAzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
dlWHjwEACAAJ,The Idiot (Annotated),,Fyodor Fyodor Dostoyevsky,Createspace Independent Publishing Platform,2016-02-17,"The Idiot is a novel by the 19th-century Russian author Fyodor Dostoyevsky. It was first published serially in the journal The Russian Messenger in 1868-9. The title is an ironic reference to the central character of the novel, Prince Lyov Nikolaevich Myshkin, a young man whose goodness and open-hearted simplicity lead many of the more worldly characters he encounters to mistakenly assume that he lacks intelligence and insight. In the character of Prince Myshkin, Dostoevsky set himself the task of depicting ""the positively good and beautiful man."" The novel examines the consequences of placing such a unique individual at the centre of the conflicts, desires, passions and egoism of worldly society, both for the man himself and for those with whom he becomes involved. The result, according to philosopher A.C. Grayling, is ""one of the most excoriating, compelling and remarkable books ever written; and without question one of the greatest.""",556.0,,en,,,http://books.google.com.br/books?id=dlWHjwEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=43&source=gbs_api,,Fiction,http://books.google.com/books/content?id=dlWHjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
QJLK0AEACAAJ,On The Road,,Jack Kerouac,Penguin Books,1976-12-28,"On September 5, 1957, Jack Kerouac?s novel On The Road was published. Since then, few books have had as profound an impact on American culture. Pulsating with the rhythms of late-1940s/1950s underground America, jazz, sex, illicit drugs, and the mystery and promise of the open road, Kerouac?s classic novel of freedom and longing defined what it meant to be?Beat? and has inspired generations of writers, musicians, artists, poets and seekers who cite their discovery of the book as the event that?set them free.? Based on Kerouac?s adventures with Neal Cassady, On The Road tells the story of two friends whose four cross-country road trips are a quest for meaning and true experience. Expressing a mixture of sad-eyed naïveté and wild abandon, and imbued with Kerouac?s love of America, his compassion for humanity, and his sense of language as jazz, On The Road is the quintessential American vision of freedom and hope. It changed American literature and changed anyone who has ever picked it up.",0.0,Fiction,en,,,http://books.google.com.br/books?id=QJLK0AEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=44&source=gbs_api,,Fiction,
49qqmAEACAAJ,The Sorrows of Young Werther,,Johann Wolfgang von Goethe,Digireads.com Publishing,2008-01-01,"""The Sorrows of Young Werther"" is the 1774 epistolary novel by Johann Goethe. A loosely autobiographical novel, ""The Sorrows of Young Werther"" tells the story of its title character, an artist with a highly sensitive and passionate temperament who falls in love with Lotte, a beautiful young girl who is promised to another in the fictional village of Wahlheim. A classic and tragic love story, ""The Sorrows of Young Werther"" established Goethe as an international literary celebrity and heavily influenced later Romantic works.",100.0,Fiction,en,,,http://books.google.com.br/books?id=49qqmAEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=45&source=gbs_api,,Fiction,http://books.google.com/books/content?id=49qqmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Izm_zQEACAAJ,The Art of War Annotated,,Sun Tzu,,2020-07-28,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC). The work, which is attributed to the ancient Chinese military strategist Sun Tzu (""Master Sun"", also spelled Sunzi), is composed of 13 chapters. Each one is devoted to an aspect of warfare and how it applies to military strategy and tactics. For almost 1,500 years it was the lead text in an anthology that would be formalised as the Seven Military Classics by Emperor Shenzong of Song in 1080. The Art of War remains the most influential strategy text in East Asian warfare[1] and has influenced both Eastern and Western military thinking, business tactics, legal strategy, lifestyles and beyond.",60.0,,en,,,http://books.google.com.br/books?id=Izm_zQEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=46&source=gbs_api,,Fiction,http://books.google.com/books/content?id=Izm_zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Xbv5zQEACAAJ,Martin Eden by Jack London,,Jack London,,2020-10-25,"First serialized in 1908, ""Martin Eden"" is Jack London's classic and tragic tale of its title character and his struggle to become a writer. Martin Eden is an idealistic and self-educated young man who struggles to overcome poverty and a lack of opportunities in a quest to become an educated and successful artist. He hopes to find acceptance in the world of the wealthy and refined, though he finds it hard to shake off his coarse working-class background. Eden falls in love with Ruth Morse, but he feels that he is not good enough to win her hand, as she comes from a bourgeois family. Eden hopes that she will wait for him while he seeks to establish himself as a successful writer and improve his social status so that he may one day feel worthy of his true love. The novel is heartbreaking, tragic, and rich with the themes of class struggle and prejudice. It is also hopeful in its faith in art to transform lives and has inspired countless young writers and artists to follow their dreams. ""Martin Eden"" remains one of Jack London's best-loved works. This edition is printed on premium acid-free paper.",60.0,,en,,,http://books.google.com.br/books?id=Xbv5zQEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=47&source=gbs_api,,Fiction,http://books.google.com/books/content?id=Xbv5zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
SFibvgEACAAJ,The Divine Comedy,,"Charles Eliot Norton, Dante Alighieri",Franklin Classics Trade Press,2018-10-18,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",276.0,,en,,,http://books.google.com.br/books?id=SFibvgEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=48&source=gbs_api,,Fiction,http://books.google.com/books/content?id=SFibvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
zYxERwAACAAJ,"The Life and Adventures of Robinson Crusoe, of York, Mariner",,Daniel Defoe,,2007-11,"Daniel Defoe (1659/1661-1731) was an English writer, journalist and spy, who gained enduring fame for his novel Robinson Crusoe (1719). Defoe is notable for being one of the earliest practitioners of the novel and helped popularise the genre in Britain. In some texts he is even referred to as one of the founders, if not the founder, of the English novel. A prolific and versatile writer, he wrote over five hundred books, pamphlets, and journals on various topics (including politics, crime, religion, marriage, psychology and the supernatural). He is also a pioneer of economic journalism. His most famous novel, Robinson Crusoe (1719), tells of a man's shipwreck on a desert island and his subsequent adventures. He also wrote Captain Singleton (1720), which portrays the redemptive power of one man's love for another; and Moll Flanders (1722), a picaresque first-person narration of the fall and eventual redemption of a lone woman in 17th century England.",260.0,Fiction,en,,,http://books.google.com.br/books?id=zYxERwAACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=49&source=gbs_api,,Fiction,http://books.google.com/books/content?id=zYxERwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
LNRKAAAAYAAJ,Resurrection,,Leo Tolstoy,ePenguin,1947,"While serving as a juror at the trial of a prostitute, Prince Nekhlyudov recognizes the defendant as a young servant girl he once loved and abandoned and tries to rectify the situation.--Résumé de l'éditeur.",578.0,Fiction,en,,,http://books.google.com.br/books?id=LNRKAAAAYAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=50&source=gbs_api,,Fiction,http://books.google.com/books/content?id=LNRKAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
